Abiskomy,Ablabesm,Acamptoc,Allopsec,Brillia,Bryophae,C.obnixu,C.trifas,Chaetocl,Chir.ant,Chir.plu,Cladopel,Cladot,Cory.amb,Cory.arc,Cory.cor,Cory.edw,Cory.lob,Cory.oli,Coryno.A,Cric.292,Cric.cyl,Cric.ind,Cric.syl,Cric.tri,Crico.C,Crico.P,CriOrtA,Cryptoch,Cryptote,D.bertra,Diam.abe,Diamesa,Dicroten,Diplocla,Einfeldi,Endo.alb,Endo.imp,Endo.ten,Euki.dev,Eukieffe,Euorthoc,Georthoc,Glyptote,Guttipel,H.tanyta,Heleniel,Hete.bru,Hete.gri,Hete.mar,Hete.sub,Hydr.con,Hydr.joh,Hydr.lug,HydrobaX,Kiefferu,Krenopel,Krenosmi,Labrundi,Lauterbo,Limnophy,MApDerPs,Mesocric,Mesopsec,Metr.eur,Metr.fus,Micr.ped,Micro.in,Micro.P,Micro.pa,Micro.ra,Microchi,Monodiam,Nano.bra,Nano.rec,Natarsia,Nilotany,O.ius,Omisus,Orth.oli,Orth.S,Orth.tri,P.albima,P.gracil,P.psilop,P.vitios,Pagastie,Para.aus,Para.bat,Para.cor,Para.nig,Para.nud,Para.pen,Para.tri,Para.var,Parachae,Paraclad,Paraclop,Paracric,Parak.A,Parameri,Paraphae,Parasmit,Paro.kie,Parortho,Phae.fla,Phaen.A,Pogonocl,Poly.con,Poly.nub,Poly.sor,Procladi,Prodiame,Props.N,Protanyp,Psec.sep,Psec.sor,Pseudoch,Pseudodi,Pseudort,Pseudosm,Rheo.cha,Rheo.eff,Rheo.fus,Rheotany,S.longiv,S.rosens,Sergenti,Smittia,St.nella,Stempell,Stenochi,Sticto.A,Stilocla,Symposio,Synortho,T.lactes,T.nemo,Tany.chi,Tany.gla,Tany.lu2,Tany.lug,Tany.men,Tany.pal,Tanypus,Th.myia,Thie.cla,Thien.E,Tvetenia,Xenochir,Zalu.zal,Zalut.A,Zalut.B,Zavrelim
0,0,0,0,0,0,0,0,0,0,1.92307692307692,5.76923076923077,23.0769230769231,0,0,1.92307692307692,0,0,0,0,7.69230769230769,0,0,0,0,0,0,0,0,0,0,0,1.92307692307692,0,0,1.92307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92307692307692,0,0,0,0,0,0,0,7.69230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84615384615385,0,0,0,0,0,9.61538461538462,0,0,0,5.76923076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.76923076923077,0,0,3.84615384615385,0,3.84615384615385,0,0,0,1.92307692307692,0,0,0,3.84615384615384,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6,2,16,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,14,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,4,2,0,0,0,0,0,0,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.57142857142857,1.78571428571429,14.2857142857143,0,0,0,0,0,0,0,1.78571428571429,0,0,0,0,0,0,0,1.78571428571429,0,0,0,0,0,0,7.14285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14285714285714,0,0,3.57142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35714285714286,0,0,0,0,0,10.7142857142857,1.78571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78571428571429,0,0,3.57142857142857,0,0,0,0,0,0,0,0,5.35714285714286,0,0,1.78571428571429,0,3.57142857142857,0,0,0,0,0,0,0,16.07142857142857,0,0,0,0
0,1.78571428571429,0,0,0,0,0,0,0,0,1.78571428571429,0,8.92857142857143,0,0,0,0,0,0,0,3.57142857142857,0,0,0,0,0,0,0,3.57142857142857,0,0,0,5.35714285714286,0,0,1.78571428571429,0,1.78571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78571428571429,0,0,0,5.35714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57142857142857,0,0,0,0,0,5.357142857142859,1.78571428571429,0,0,5.35714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57142857142857,0,0,0,0,0,0,0,0,12.5,0,0,5.35714285714286,0,1.78571428571429,0,0,0,1.78571428571429,0,0,0,17.85714285714286,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.0752688172043,1.0752688172043,12.9032258064516,0,0,11.8279569892473,0,0,0,0,1.0752688172043,0,0,0,0,0,0,0,5.37634408602151,0,0,0,4.3010752688172,0,0,2.1505376344086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0752688172043,0,0,0,7.52688172043011,0,1.0752688172043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2258064516129,0,0,0,0,0,8.60215053763441,1.0752688172043,0,0,4.3010752688172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2258064516129,0,0,0,0,0,0,0,0,8.60215053763441,0,0,1.0752688172043,0,2.1505376344086,1.0752688172043,0,0,2.1505376344086,0,0,0,6.4516129032258105,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.78571428571429,0,23.2142857142857,0,1.78571428571429,3.57142857142857,0,0,0,0,1.78571428571429,0,0,0,0,0,0,0,1.78571428571429,0,0,0,1.78571428571429,0,0,1.78571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35714285714286,0,0,1.78571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35714285714286,0,0,0,0,0,12.5,0,0,0,3.57142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78571428571429,0,1.78571428571429,0,0,0,0,0,0,10.7142857142857,0,0,0,0,1.78571428571429,0,0,0,0,0,0,0,3.57142857142857,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.94174757281553,1.94174757281553,20.3883495145631,0,0,3.88349514563107,0,0,0,0,2.9126213592233,0,0,0,0,0,0,0,4.85436893203883,0,0,0,7.76699029126214,0.970873786407767,0,2.9126213592233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970873786407767,0,0,0,0,0,0,0,0,0,0,1.94174757281553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88349514563107,0,0,0,0,0,8.7378640776699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970873786407767,0,0,2.9126213592233,0,0.970873786407767,0,0,0,0,0,0,10.6796116504854,0,0,0,0,1.94174757281553,0,0,0,1.94174757281553,0,0,0,8.7378640776699,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.94736842105263,0,19.7368421052632,0,0,2.63157894736842,0,0,0,1.31578947368421,0,0,0,0,0,0,0,0,3.94736842105263,0,0,0,2.63157894736842,0,0,5.26315789473684,1.31578947368421,1.31578947368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94736842105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31578947368421,0,0,0,0,0,1.31578947368421,1.31578947368421,0,0,1.31578947368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31578947368421,0,1.31578947368421,3.94736842105263,0,0,0,0,0,0,0,0,15.7894736842105,0,0,1.31578947368421,0,1.31578947368421,0,0,0,3.94736842105263,0,0,0,2.63157894736842,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1.16279069767442,26.7441860465116,0,0,5.81395348837209,1.16279069767442,0,0,0,2.32558139534884,0,0,0,0,0,0,0,3.48837209302326,0,0,0,0,0,0,1.16279069767442,0,1.16279069767442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48837209302326,0,1.16279069767442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97674418604651,0,0,0,0,0,9.302325581395351,0,0,0,2.32558139534884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16279069767442,4.65116279069767,0,1.16279069767442,0,0,0,0,0,0,12.7906976744186,0,0,1.16279069767442,0,0,0,0,0,2.32558139534884,0,0,0,4.65116279069767,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,24.1379310344828,0,0,5.17241379310345,0,0,0,0,1.72413793103448,1.72413793103448,0,0,0,0,0,0,3.44827586206897,0,0,0,0,0,0,3.44827586206897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72413793103448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.17241379310345,0,0,0,0,0,3.44827586206896,0,0,0,5.17241379310345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72413793103448,0,0,1.72413793103448,0,1.72413793103448,0,0,0,0,0,0,22.4137931034483,0,0,1.72413793103448,0,3.44827586206897,0,0,0,1.72413793103448,0,0,0,0,0,0,0,0
